<http://www.yso.fi/onto/yso/p25869>	Arab Spring
<http://www.yso.fi/onto/yso/p20774>	social media
<http://www.yso.fi/onto/yso/p2646>	political participation
<http://www.yso.fi/onto/yso/p742>	democracy
<http://www.yso.fi/onto/yso/p26657>	uprisings
<http://www.yso.fi/onto/yso/p2251>	civic activism
<http://www.yso.fi/onto/yso/p24516>	empowerment
<http://www.yso.fi/onto/yso/p21733>	activism
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p408>	social networks
<http://www.yso.fi/onto/yso/p105841>	Egypt
