<http://www.yso.fi/onto/yso/p19421>	career guidance
<http://www.yso.fi/onto/yso/p6548>	choice of profession
<http://www.yso.fi/onto/yso/p15898>	career choice
<http://www.yso.fi/onto/yso/p15899>	career planning
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p1127>	groups
<http://www.yso.fi/onto/yso/p21989>	transferable skills
<http://www.yso.fi/onto/yso/p12928>	placement (work)
<http://www.yso.fi/onto/yso/p3542>	access to employment
<http://www.yso.fi/onto/yso/p1949>	mental health
<http://www.yso.fi/onto/yso/p1946>	mental well-being
<http://www.yso.fi/onto/yso/p9860>	job application
<http://www.yso.fi/onto/yso/p84>	education and training
<http://www.yso.fi/onto/yso/p1912>	direction (arts and media)
<http://www.yso.fi/onto/yso/p178>	direction (instruction and guidance)
<http://www.yso.fi/onto/yso/p1911>	control (steering)
<http://www.yso.fi/onto/yso/p795>	effects (results)
<http://www.yso.fi/onto/yso/p14983>	career development
