<http://www.yso.fi/onto/yso/p19256>	long-term unemployment
<http://www.yso.fi/onto/yso/p11571>	unemployment
<http://www.yso.fi/onto/yso/p8012>	employment policy
<http://www.yso.fi/onto/yso/p6405>	non-governmental organisations
<http://www.yso.fi/onto/yso/p6901>	third sector
<http://www.yso.fi/onto/yso/p19401>	labour market policy
<http://www.yso.fi/onto/yso/p7709>	long-term unemployed people
<http://www.yso.fi/onto/yso/p23554>	labour status
<http://www.yso.fi/onto/yso/p8014>	providing employment
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p94383>	Sweden
