<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p13977>	fractures
<http://www.yso.fi/onto/yso/p7232>	hip
<http://www.yso.fi/onto/yso/p27172>	physical functioning
<http://www.yso.fi/onto/yso/p3320>	rehabilitation
<http://www.yso.fi/onto/yso/p16233>	strength training
<http://www.yso.fi/onto/yso/p10515>	physiotherapy
<http://www.yso.fi/onto/yso/p21627>	living at home
<http://www.yso.fi/onto/yso/p7758>	balance
<http://www.yso.fi/onto/yso/p649>	moving
<http://www.yso.fi/onto/yso/p7759>	falling over
<http://www.yso.fi/onto/yso/p10848>	fear (emotions)
<http://www.yso.fi/onto/yso/p2433>	senior citizens
