<http://www.yso.fi/onto/yso/p12559>	papermaking
<http://www.yso.fi/onto/yso/p10598>	paper machines
<http://www.yso.fi/onto/yso/p11401>	mathematical models
<http://www.yso.fi/onto/yso/p3533>	modelling (creation related to information)
<http://www.yso.fi/onto/yso/p25748>	linear models
<http://www.yso.fi/onto/yso/p6588>	numerical methods
<http://www.yso.fi/onto/yso/p9146>	strength theory
<http://www.yso.fi/onto/yso/p6240>	viscosity
<http://www.yso.fi/onto/yso/p15864>	elasticity (physical properties)
<http://www.yso.fi/onto/yso/p4095>	dynamics
<http://www.yso.fi/onto/yso/p708>	oscillations
<http://www.yso.fi/onto/yso/p8691>	properties
