<http://www.yso.fi/onto/yso/p9816>	information administration
<http://www.yso.fi/onto/yso/p3927>	data systems
<http://www.yso.fi/onto/yso/p10655>	systems work
<http://www.yso.fi/onto/yso/p3006>	projects
<http://www.yso.fi/onto/yso/p16273>	project management
<http://www.yso.fi/onto/yso/p2419>	success
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p22023>	project leadership
<http://www.yso.fi/onto/yso/p23073>	project managers
<http://www.yso.fi/onto/yso/p5798>	skills
<http://www.yso.fi/onto/yso/p84>	education and training
<http://www.yso.fi/onto/yso/p3390>	tertiary education
<http://www.yso.fi/onto/yso/p21580>	management education
<http://www.yso.fi/onto/yso/p16501>	project learning
