<http://www.yso.fi/onto/yso/p5658>	Astacus astacus
<http://www.yso.fi/onto/yso/p5660>	Pacifastacus leniusculus
<http://www.yso.fi/onto/yso/p634>	ecology
<http://www.yso.fi/onto/yso/p27164>	ecological niche
<http://www.yso.fi/onto/yso/p23747>	introduced species
<http://www.yso.fi/onto/yso/p4997>	ecosystems
<http://www.yso.fi/onto/yso/p11000>	aquatic ecosystems
<http://www.yso.fi/onto/yso/p5496>	biodiversity
<http://www.yso.fi/onto/yso/p22082>	food webs
<http://www.yso.fi/onto/yso/p4636>	biotic communities
<http://www.yso.fi/onto/yso/p3931>	invertebrates
<http://www.yso.fi/onto/yso/p16692>	boreal zone
<http://www.yso.fi/onto/yso/p9374>	lakes
<http://www.yso.fi/onto/yso/p104958>	Päijänne
