<http://www.yso.fi/onto/yso/p11779>	social workers
<http://www.yso.fi/onto/yso/p7104>	public sector
<http://www.yso.fi/onto/yso/p1307>	social services
<http://www.yso.fi/onto/yso/p24585>	adult social work
<http://www.yso.fi/onto/yso/p2289>	child protection
<http://www.yso.fi/onto/yso/p1835>	well-being at work
<http://www.yso.fi/onto/yso/p135>	managing
<http://www.yso.fi/onto/yso/p129>	work burden
<http://www.yso.fi/onto/yso/p131>	psychological strain
<http://www.yso.fi/onto/yso/p862>	professional ethics
<http://www.yso.fi/onto/yso/p9365>	professional skills
<http://www.yso.fi/onto/yso/p19352>	resources
<http://www.yso.fi/onto/yso/p22931>	improvement
<http://www.yso.fi/onto/yso/p942>	public finances
<http://www.yso.fi/onto/yso/p2555>	economy
