<http://www.yso.fi/onto/yso/p9816>	information administration
<http://www.yso.fi/onto/yso/p22396>	chief information officers
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p5767>	strategic leadership
<http://www.yso.fi/onto/yso/p8420>	leadership (properties)
<http://www.yso.fi/onto/yso/p9998>	outsourcing
<http://www.yso.fi/onto/yso/p838>	services
<http://www.yso.fi/onto/yso/p3927>	data systems
<http://www.yso.fi/onto/yso/p20743>	information and communications technology
<http://www.yso.fi/onto/yso/p5462>	information technology
<http://www.yso.fi/onto/yso/p7104>	public sector
<http://www.yso.fi/onto/yso/p11520>	private sector
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p10083>	municipalities
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p9476>	large enterprises
<http://www.yso.fi/onto/yso/p20000>	networking (making contacts)
