<http://www.yso.fi/onto/yso/p10655>	systems work
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p2945>	learning
<http://www.yso.fi/onto/yso/p4418>	teaching technology
<http://www.yso.fi/onto/yso/p7221>	computer-assisted learning
<http://www.yso.fi/onto/yso/p17867>	computer-assisted teaching
<http://www.yso.fi/onto/yso/p13627>	online learning
<http://www.yso.fi/onto/yso/p6621>	online teaching
<http://www.yso.fi/onto/yso/p22964>	blended learning
<http://www.yso.fi/onto/yso/p5918>	problem-based learning
<http://www.yso.fi/onto/yso/p18727>	collaborative learning
<http://www.yso.fi/onto/yso/p22834>	online videos
<http://www.yso.fi/onto/yso/p26951>	virtual learning environments
<http://www.yso.fi/onto/yso/p22304>	wikis
