<http://www.yso.fi/onto/yso/p3390>	tertiary education
<http://www.yso.fi/onto/yso/p1031>	system of higher education
<http://www.yso.fi/onto/yso/p10895>	universities
<http://www.yso.fi/onto/yso/p249>	education policy
<http://www.yso.fi/onto/yso/p12204>	schools of economics and business administration
<http://www.yso.fi/onto/yso/p1555>	trade schools
<http://www.yso.fi/onto/yso/p20261>	neoliberalism
<http://www.yso.fi/onto/yso/p216>	ideologies
<http://www.yso.fi/onto/yso/p3817>	operations models
<http://www.yso.fi/onto/yso/p775>	public administration
<http://www.yso.fi/onto/yso/p11473>	institutionalisation (societal change)
<http://www.yso.fi/onto/yso/p21580>	management education
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p20746>	management systems
<http://www.yso.fi/onto/yso/p7569>	institutions (social mechanisms)
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p16572>	market economy
<http://www.yso.fi/onto/yso/p1866>	competition (economics)
<http://www.yso.fi/onto/yso/p20596>	cost effectiveness
<http://www.yso.fi/onto/yso/p7836>	scientific thought
<http://www.yso.fi/onto/yso/p15854>	legitimacy
