<http://www.yso.fi/onto/yso/p21>	civil society movements
<http://www.yso.fi/onto/yso/p15>	social movements
<http://www.yso.fi/onto/yso/p9743>	identity (mental objects)
<http://www.yso.fi/onto/yso/p2550>	power structures
<http://www.yso.fi/onto/yso/p2551>	power (societal objects)
<http://www.yso.fi/onto/yso/p1840>	collective action
<http://www.yso.fi/onto/yso/p6310>	social classes
<http://www.yso.fi/onto/yso/p2139>	societal status
<http://www.yso.fi/onto/yso/p6249>	capital
<http://www.yso.fi/onto/yso/p22016>	cultural capital (social assets)
<http://www.yso.fi/onto/yso/p8998>	social capital
<http://www.yso.fi/onto/yso/p6425>	habitus
