<http://www.yso.fi/onto/yso/p6680>	human-machine systems
<http://www.yso.fi/onto/yso/p16588>	user psychology
<http://www.yso.fi/onto/yso/p25337>	user experience
<http://www.yso.fi/onto/yso/p7509>	methodology
<http://www.yso.fi/onto/yso/p3210>	experiencing
<http://www.yso.fi/onto/yso/p3209>	experiences (knowledge)
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p24064>	competence
<http://www.yso.fi/onto/yso/p14050>	frustation
<http://www.yso.fi/onto/yso/p11867>	coping
<http://www.yso.fi/onto/yso/p5283>	cognitive processes
<http://www.yso.fi/onto/yso/p7413>	evaluation
