<http://www.yso.fi/onto/yso/p6621>	online teaching
<http://www.yso.fi/onto/yso/p13627>	online learning
<http://www.yso.fi/onto/yso/p17867>	computer-assisted teaching
<http://www.yso.fi/onto/yso/p7221>	computer-assisted learning
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p4734>	motivation (mental objects)
<http://www.yso.fi/onto/yso/p4736>	motivation (activity)
<http://www.yso.fi/onto/yso/p4735>	encouragement
<http://www.yso.fi/onto/yso/p3785>	usability
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p18849>	human being
<http://www.yso.fi/onto/yso/p2339>	technology (information)
