<http://www.yso.fi/onto/yso/p2736>	citizenship
<http://www.yso.fi/onto/yso/p2880>	language
<http://www.yso.fi/onto/yso/p563>	rhetoric
<http://www.yso.fi/onto/yso/p7828>	conversation analysis
<http://www.yso.fi/onto/yso/p15854>	legitimacy
<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p1731>	integration (passive)
<http://www.yso.fi/onto/yso/p4406>	social integration
<http://www.yso.fi/onto/yso/p24947>	concepts of time
<http://www.yso.fi/onto/yso/p17342>	migrant integration
<http://www.yso.fi/onto/yso/p105087>	Germany
