<http://www.yso.fi/onto/yso/p26597>	network environment
<http://www.yso.fi/onto/yso/p24778>	virtual environment
<http://www.yso.fi/onto/yso/p24777>	virtual world
<http://www.yso.fi/onto/yso/p9002>	sociality
<http://www.yso.fi/onto/yso/p10372>	functionality
<http://www.yso.fi/onto/yso/p10727>	participation
<http://www.yso.fi/onto/yso/p27098>	digital natives
<http://www.yso.fi/onto/yso/p10590>	social interaction
<http://www.yso.fi/onto/yso/p20774>	social media
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p21214>	cyberbullying
<http://www.yso.fi/onto/yso/p6914>	school-age children
