<http://www.yso.fi/onto/yso/p7643>	Russian language
<http://www.yso.fi/onto/yso/p4788>	prosody
<http://www.yso.fi/onto/yso/p4532>	phonetics
<http://www.yso.fi/onto/yso/p16849>	intonation (speech)
<http://www.yso.fi/onto/yso/p7303>	pronunciation
<http://www.yso.fi/onto/yso/p23618>	oral reading
<http://www.yso.fi/onto/yso/p17782>	oral language skills
<http://www.yso.fi/onto/yso/p21865>	fluency
<http://www.yso.fi/onto/yso/p24061>	language learning
<http://www.yso.fi/onto/yso/p22960>	exchange students
<http://www.yso.fi/onto/yso/p2095>	student exchange
<http://www.yso.fi/onto/yso/p3180>	Finns
<http://www.yso.fi/onto/yso/p1798>	studies abroad
<http://www.yso.fi/onto/yso/p94479>	Russia
