<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p13035>	physical hobbies
<http://www.yso.fi/onto/yso/p795>	effects (results)
<http://www.yso.fi/onto/yso/p7233>	skeletal system
<http://www.yso.fi/onto/yso/p24382>	adipose tissues
<http://www.yso.fi/onto/yso/p2784>	muscles
<http://www.yso.fi/onto/yso/p5789>	growth
<http://www.yso.fi/onto/yso/p7196>	girls
<http://www.yso.fi/onto/yso/p15514>	puberty
<http://www.yso.fi/onto/yso/p10781>	osteoporosis
<http://www.yso.fi/onto/yso/p823>	obesity
<http://www.yso.fi/onto/yso/p19552>	pre-emption
