<http://www.yso.fi/onto/yso/p6458>	refugees
<http://www.yso.fi/onto/yso/p9976>	refugee policy
<http://www.yso.fi/onto/yso/p4965>	refugee work
<http://www.yso.fi/onto/yso/p6946>	public authorities
<http://www.yso.fi/onto/yso/p3286>	social work
<http://www.yso.fi/onto/yso/p3511>	settlement (population)
<http://www.yso.fi/onto/yso/p17342>	migrant integration
<http://www.yso.fi/onto/yso/p9414>	addiction
<http://www.yso.fi/onto/yso/p10531>	profession of faith (activity)
<http://www.yso.fi/onto/yso/p8670>	confession (admission)
<http://www.yso.fi/onto/yso/p10361>	acceptance
<http://www.yso.fi/onto/yso/p1725>	trust
