<http://www.yso.fi/onto/yso/p22356>	electromyography
<http://www.yso.fi/onto/yso/p28444>	calves (parts of the body)
<http://www.yso.fi/onto/yso/p2784>	muscles
<http://www.yso.fi/onto/yso/p23362>	muscle strength
<http://www.yso.fi/onto/yso/p18959>	calcaneal tendon
<http://www.yso.fi/onto/yso/p50>	injuries and disabilities
<http://www.yso.fi/onto/yso/p14193>	pain
<http://www.yso.fi/onto/yso/p12766>	sports injuries
<http://www.yso.fi/onto/yso/p3320>	rehabilitation
<http://www.yso.fi/onto/yso/p16233>	strength training
<http://www.yso.fi/onto/yso/p19539>	positron emission tomography
<http://www.yso.fi/onto/yso/p18742>	glucose
<http://www.yso.fi/onto/yso/p8574>	consumption
<http://www.yso.fi/onto/yso/p20292>	biomechanics
<http://www.yso.fi/onto/yso/p12766>	sports injuries
