<http://www.yso.fi/onto/yso/p8773>	political research
<http://www.yso.fi/onto/yso/p27387>	humanitarianism
<http://www.yso.fi/onto/yso/p9596>	public figures
<http://www.yso.fi/onto/yso/p8612>	public discussion
<http://www.yso.fi/onto/yso/p8711>	postcolonialism
<http://www.yso.fi/onto/yso/p67>	violence (activity)
<http://www.yso.fi/onto/yso/p4064>	freedom
<http://www.yso.fi/onto/yso/p3476>	poverty
<http://www.yso.fi/onto/yso/p10761>	living conditions
<http://www.yso.fi/onto/yso/p17280>	underdevelopment
<http://www.yso.fi/onto/yso/p17004>	developing countries
<http://www.yso.fi/onto/yso/p10709>	development policy
<http://www.yso.fi/onto/yso/p1407>	representation (creation related to information)
<http://www.yso.fi/onto/yso/p6364>	emancipation
<http://www.yso.fi/onto/yso/p18650>	Western culture
<http://www.yso.fi/onto/yso/p215>	worldview
<http://www.yso.fi/onto/yso/p5291>	gender
<http://www.yso.fi/onto/yso/p6310>	social classes
<http://www.yso.fi/onto/yso/p24862>	critical thinking
<http://www.yso.fi/onto/yso/p26315>	challenge (questioning)
<http://www.yso.fi/onto/yso/p94080>	Africa
