<http://www.yso.fi/onto/yso/p6165>	migrants
<http://www.yso.fi/onto/yso/p1208>	Russians
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p16922>	product life cycle
<http://www.yso.fi/onto/yso/p2439>	business
<http://www.yso.fi/onto/yso/p1178>	entrepreneurs
<http://www.yso.fi/onto/yso/p1182>	entrepreneurship
<http://www.yso.fi/onto/yso/p11261>	corporate culture
<http://www.yso.fi/onto/yso/p2190>	cultural differences
<http://www.yso.fi/onto/yso/p22220>	narrative analysis
<http://www.yso.fi/onto/yso/p94426>	Finland
