<http://www.yso.fi/onto/yso/p12113>	Microtus agrestis
<http://www.yso.fi/onto/yso/p26936>	population dynamics
<http://www.yso.fi/onto/yso/p5747>	parasitic diseases
<http://www.yso.fi/onto/yso/p19293>	bacterial diseases
<http://www.yso.fi/onto/yso/p16261>	virus diseases
<http://www.yso.fi/onto/yso/p12206>	antibodies
<http://www.yso.fi/onto/yso/p3671>	nutrition
<http://www.yso.fi/onto/yso/p10827>	nutrient supply
<http://www.yso.fi/onto/yso/p3393>	food resources
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p23558>	population dynamics
