<http://www.yso.fi/onto/yso/p13376>	political culture
<http://www.yso.fi/onto/yso/p811>	parliaments
<http://www.yso.fi/onto/yso/p7828>	conversation analysis
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p11090>	parliamentary work
<http://www.yso.fi/onto/yso/p563>	rhetoric
<http://www.yso.fi/onto/yso/p15530>	democratisation
<http://www.yso.fi/onto/yso/p13852>	preparation of legislation
<http://www.yso.fi/onto/yso/p7594>	procedures
<http://www.yso.fi/onto/yso/p8613>	disputation
<http://www.yso.fi/onto/yso/p105242>	Indonesia
