<http://www.yso.fi/onto/yso/p454>	politics
<http://www.yso.fi/onto/yso/p13671>	cultural policy
<http://www.yso.fi/onto/yso/p1888>	art policy
<http://www.yso.fi/onto/yso/p20653>	art forms
<http://www.yso.fi/onto/yso/p16327>	cinema (art forms)
<http://www.yso.fi/onto/yso/p216>	ideologies
<http://www.yso.fi/onto/yso/p447>	socialism
<http://www.yso.fi/onto/yso/p2954>	societal change
<http://www.yso.fi/onto/yso/p15287>	political change
<http://www.yso.fi/onto/yso/p2928>	public funding
<http://www.yso.fi/onto/yso/p10589>	formalism (styles)
<http://www.yso.fi/onto/yso/p10596>	formalism (ideas)
<http://www.yso.fi/onto/yso/p105202>	Yugoslavia
