<http://www.yso.fi/onto/yso/p8557>	school class community
<http://www.yso.fi/onto/yso/p568>	classroom work
<http://www.yso.fi/onto/yso/p1117>	teachers
<http://www.yso.fi/onto/yso/p8131>	school children
<http://www.yso.fi/onto/yso/p1050>	teacher-pupil relationship
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p10590>	social interaction
<http://www.yso.fi/onto/yso/p7831>	linguistic interaction
<http://www.yso.fi/onto/yso/p17817>	discourse
<http://www.yso.fi/onto/yso/p6833>	non-verbal language
<http://www.yso.fi/onto/yso/p1236>	feedback
<http://www.yso.fi/onto/yso/p17666>	class discussion (educational methods)
<http://www.yso.fi/onto/yso/p2573>	English language
<http://www.yso.fi/onto/yso/p2190>	cultural differences
