<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p9514>	heredity
<http://www.yso.fi/onto/yso/p252>	mobility
<http://www.yso.fi/onto/yso/p7758>	balance
<http://www.yso.fi/onto/yso/p7759>	falling over
<http://www.yso.fi/onto/yso/p12661>	accidents
<http://www.yso.fi/onto/yso/p11788>	positions (physical properties)
<http://www.yso.fi/onto/yso/p24041>	body control
<http://www.yso.fi/onto/yso/p1937>	sense of hearing
<http://www.yso.fi/onto/yso/p2317>	physiology
