<http://www.yso.fi/onto/yso/p3390>	tertiary education
<http://www.yso.fi/onto/yso/p4259>	productivity
<http://www.yso.fi/onto/yso/p13183>	working
<http://www.yso.fi/onto/yso/p11850>	employed workforce
<http://www.yso.fi/onto/yso/p16486>	students
<http://www.yso.fi/onto/yso/p4782>	dropping out
<http://www.yso.fi/onto/yso/p3542>	access to employment
<http://www.yso.fi/onto/yso/p10103>	subventions
<http://www.yso.fi/onto/yso/p19527>	graduation
<http://www.yso.fi/onto/yso/p13961>	earned income
<http://www.yso.fi/onto/yso/p13157>	work experience
<http://www.yso.fi/onto/yso/p14721>	emigration
<http://www.yso.fi/onto/yso/p1182>	entrepreneurship
<http://www.yso.fi/onto/yso/p94426>	Finland
