<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p8245>	small enterprises
<http://www.yso.fi/onto/yso/p2439>	business
<http://www.yso.fi/onto/yso/p11373>	small-scale entrepreneurs
<http://www.yso.fi/onto/yso/p1178>	entrepreneurs
<http://www.yso.fi/onto/yso/p20000>	networking (making contacts)
<http://www.yso.fi/onto/yso/p5570>	networks (societal phenomena)
<http://www.yso.fi/onto/yso/p18755>	clusters
<http://www.yso.fi/onto/yso/p8310>	innovativeness
<http://www.yso.fi/onto/yso/p22161>	business parks
<http://www.yso.fi/onto/yso/p13470>	industrial areas
<http://www.yso.fi/onto/yso/p105005>	Latin America
<http://www.yso.fi/onto/yso/p105378>	Peru
