<http://www.yso.fi/onto/yso/p20094>	family businesses
<http://www.yso.fi/onto/yso/p8246>	small and medium-sized enterprises
<http://www.yso.fi/onto/yso/p13599>	subsidiary companies
<http://www.yso.fi/onto/yso/p3866>	internationalisation
<http://www.yso.fi/onto/yso/p2111>	processes
<http://www.yso.fi/onto/yso/p20000>	networking (making contacts)
<http://www.yso.fi/onto/yso/p8998>	social capital
<http://www.yso.fi/onto/yso/p5570>	networks (societal phenomena)
<http://www.yso.fi/onto/yso/p879>	adjacent areas
<http://www.yso.fi/onto/yso/p3169>	international zones
<http://www.yso.fi/onto/yso/p9857>	international market
<http://www.yso.fi/onto/yso/p4168>	distance
<http://www.yso.fi/onto/yso/p10982>	case study
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p104968>	France
