<http://www.yso.fi/onto/yso/p8692>	digitalisation
<http://www.yso.fi/onto/yso/p23942>	digital marketing
<http://www.yso.fi/onto/yso/p5878>	marketing
<http://www.yso.fi/onto/yso/p6564>	challenges
<http://www.yso.fi/onto/yso/p3294>	customers
<http://www.yso.fi/onto/yso/p8530>	customer relationship management
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p7393>	companies (business enterprises)
<http://www.yso.fi/onto/yso/p23851>	brands
<http://www.yso.fi/onto/yso/p25981>	branding
<http://www.yso.fi/onto/yso/p36>	communication
<http://www.yso.fi/onto/yso/p19559>	internal communication
<http://www.yso.fi/onto/yso/p26123>	organisational communication and public relations
<http://www.yso.fi/onto/yso/p14112>	network communication
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p5575>	new media
<http://www.yso.fi/onto/yso/p20774>	social media
<http://www.yso.fi/onto/yso/p23185>	instant messaging clients
<http://www.yso.fi/onto/yso/p8246>	small and medium-sized enterprises
<http://www.yso.fi/onto/yso/p14953>	international corporations
<http://www.yso.fi/onto/yso/p12743>	business-to-business marketing
<http://www.yso.fi/onto/yso/p5156>	corporate strategies
<http://www.yso.fi/onto/yso/p5767>	strategic leadership
