<http://www.yso.fi/onto/yso/p15334>	paternity
<http://www.yso.fi/onto/yso/p3312>	parenthood
<http://www.yso.fi/onto/yso/p6333>	conceptions
<http://www.yso.fi/onto/yso/p8173>	men
<http://www.yso.fi/onto/yso/p10727>	participation
<http://www.yso.fi/onto/yso/p5515>	child care
<http://www.yso.fi/onto/yso/p2259>	family life
<http://www.yso.fi/onto/yso/p7374>	everyday life
<http://www.yso.fi/onto/yso/p7721>	paternity leave
<http://www.yso.fi/onto/yso/p2449>	family leaves
<http://www.yso.fi/onto/yso/p928>	gender roles
<http://www.yso.fi/onto/yso/p5331>	men's studies
