<http://www.yso.fi/onto/yso/p16380>	music therapy
<http://www.yso.fi/onto/yso/p3320>	rehabilitation
<http://www.yso.fi/onto/yso/p339>	return to health
<http://www.yso.fi/onto/yso/p3320>	rehabilitation
<http://www.yso.fi/onto/yso/p11646>	state of health
<http://www.yso.fi/onto/yso/p6354>	cerebral stroke
<http://www.yso.fi/onto/yso/p1713>	cerebral infarction
<http://www.yso.fi/onto/yso/p17305>	neurology
<http://www.yso.fi/onto/yso/p1808>	music
<http://www.yso.fi/onto/yso/p9106>	listening
<http://www.yso.fi/onto/yso/p3209>	experiences (knowledge)
