<http://www.yso.fi/onto/yso/p23085>	ethicality
<http://www.yso.fi/onto/yso/p5601>	social responsibility
<http://www.yso.fi/onto/yso/p23081>	business ethics
<http://www.yso.fi/onto/yso/p10705>	forest industry
<http://www.yso.fi/onto/yso/p1861>	forestry
<http://www.yso.fi/onto/yso/p5737>	indigenous peoples
<http://www.yso.fi/onto/yso/p5736>	ethnic groups
<http://www.yso.fi/onto/yso/p974>	shareholders
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p854>	liability
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p108126>	Brazil
<http://www.yso.fi/onto/yso/p105006>	South America
