<http://www.yso.fi/onto/yso/p2996>	poetics
<http://www.yso.fi/onto/yso/p1066>	literary research
<http://www.yso.fi/onto/yso/p24121>	digital culture
<http://www.yso.fi/onto/yso/p21073>	digital art
<http://www.yso.fi/onto/yso/p5196>	aesthetics
<http://www.yso.fi/onto/yso/p563>	rhetoric
<http://www.yso.fi/onto/yso/p3603>	semiotics
<http://www.yso.fi/onto/yso/p20743>	information and communications technology
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p11406>	reading (activity)
<http://www.yso.fi/onto/yso/p3973>	antiquity
<http://www.yso.fi/onto/yso/p5001>	modernism
<http://www.yso.fi/onto/yso/p1323>	futurism
<http://www.yso.fi/onto/yso/p14247>	dadaism
<http://www.yso.fi/onto/yso/p5013>	surrealism
<http://www.yso.fi/onto/yso/p12236>	postmodernism
<http://www.yso.fi/onto/yso/p12668>	classification
<http://www.yso.fi/onto/yso/p4022>	typologies
