<http://www.yso.fi/onto/yso/p8562>	households (organisations)
<http://www.yso.fi/onto/yso/p2382>	energy consumption
<http://www.yso.fi/onto/yso/p2386>	energy saving
<http://www.yso.fi/onto/yso/p8576>	consumer behaviour
<http://www.yso.fi/onto/yso/p7473>	energy plants
<http://www.yso.fi/onto/yso/p21003>	sustainable use
<http://www.yso.fi/onto/yso/p26123>	organisational communication and public relations
<http://www.yso.fi/onto/yso/p8329>	efficiency (properties)
<http://www.yso.fi/onto/yso/p23470>	sufficiency
<http://www.yso.fi/onto/yso/p5760>	environmental leadership
<http://www.yso.fi/onto/yso/p94426>	Finland
