<http://www.yso.fi/onto/yso/p2339>	technology (information)
<http://www.yso.fi/onto/yso/p23070>	wireless technology
<http://www.yso.fi/onto/yso/p4834>	mobile devices
<http://www.yso.fi/onto/yso/p22643>	mobile services
<http://www.yso.fi/onto/yso/p16550>	users
<http://www.yso.fi/onto/yso/p1736>	use
<http://www.yso.fi/onto/yso/p17832>	introduction (deployment)
<http://www.yso.fi/onto/yso/p5619>	attitudes
<http://www.yso.fi/onto/yso/p6946>	public authorities
<http://www.yso.fi/onto/yso/p3398>	police (organisations)
<http://www.yso.fi/onto/yso/p20817>	police (occupations)
