<http://www.yso.fi/onto/yso/p14074>	living environment
<http://www.yso.fi/onto/yso/p15573>	residential environment
<http://www.yso.fi/onto/yso/p2771>	outdoor recreation
<http://www.yso.fi/onto/yso/p649>	moving
<http://www.yso.fi/onto/yso/p3706>	walking (motion)
<http://www.yso.fi/onto/yso/p10848>	fear (emotions)
<http://www.yso.fi/onto/yso/p656>	obstacles (phenomena)
<http://www.yso.fi/onto/yso/p4813>	obstacles (inanimate objects)
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p25506>	weakening
<http://www.yso.fi/onto/yso/p10759>	quality of life
<http://www.yso.fi/onto/yso/p24012>	immobility
