<http://www.yso.fi/onto/yso/p17587>	Lampetra fluviatilis
<http://www.yso.fi/onto/yso/p10296>	larvae
<http://www.yso.fi/onto/yso/p5678>	habitat
<http://www.yso.fi/onto/yso/p8529>	fish populations
<http://www.yso.fi/onto/yso/p5097>	fish transplanting
<http://www.yso.fi/onto/yso/p5038>	populations
<http://www.yso.fi/onto/yso/p20115>	population ecology
<http://www.yso.fi/onto/yso/p2023>	animals
<http://www.yso.fi/onto/yso/p3449>	hydraulic engineering
<http://www.yso.fi/onto/yso/p4464>	regulation of water systems
<http://www.yso.fi/onto/yso/p12368>	restoration of water systems
<http://www.yso.fi/onto/yso/p9862>	environmental effects
<http://www.yso.fi/onto/yso/p3259>	rivers
<http://www.yso.fi/onto/yso/p6191>	dams
<http://www.yso.fi/onto/yso/p16498>	flow rate
<http://www.yso.fi/onto/yso/p14858>	fishways
<http://www.yso.fi/onto/yso/p14830>	bridges
