<http://www.yso.fi/onto/yso/p1749>	bacteria
<http://www.yso.fi/onto/yso/p23656>	Borrelia
<http://www.yso.fi/onto/yso/p1524>	morphology (biology)
<http://www.yso.fi/onto/yso/p21155>	cell walls
<http://www.yso.fi/onto/yso/p16041>	immune system
<http://www.yso.fi/onto/yso/p21599>	immune response
<http://www.yso.fi/onto/yso/p12206>	antibodies
<http://www.yso.fi/onto/yso/p2811>	phagocytosis
<http://www.yso.fi/onto/yso/p27579>	macrophages
<http://www.yso.fi/onto/yso/p22729>	cytokines
<http://www.yso.fi/onto/yso/p13976>	borreliosis
<http://www.yso.fi/onto/yso/p14134>	diagnosis
<http://www.yso.fi/onto/yso/p416>	diagnostics
