<http://www.yso.fi/onto/yso/p8831>	labour market
<http://www.yso.fi/onto/yso/p6178>	regional economy
<http://www.yso.fi/onto/yso/p9978>	areas and regions
<http://www.yso.fi/onto/yso/p22556>	academic degree holders
<http://www.yso.fi/onto/yso/p8553>	graduates
<http://www.yso.fi/onto/yso/p13157>	work experience
<http://www.yso.fi/onto/yso/p8343>	know-how
<http://www.yso.fi/onto/yso/p4882>	regionality
<http://www.yso.fi/onto/yso/p9978>	areas and regions
<http://www.yso.fi/onto/yso/p9328>	human capital
<http://www.yso.fi/onto/yso/p1688>	towns and cities
<http://www.yso.fi/onto/yso/p7392>	concentration (societal change)
<http://www.yso.fi/onto/yso/p252>	mobility
<http://www.yso.fi/onto/yso/p6119>	migratory movement (demography)
<http://www.yso.fi/onto/yso/p8562>	households (organisations)
<http://www.yso.fi/onto/yso/p941>	income
<http://www.yso.fi/onto/yso/p3477>	wage development
