<http://zbw.eu/stw/descriptor/11539-5>	Fiscal control
<http://zbw.eu/stw/descriptor/11613-5>	Public debt
<http://zbw.eu/stw/descriptor/10398-2>	Rules versus discretion
<http://zbw.eu/stw/descriptor/11728-2>	Fiscal policy
<http://zbw.eu/stw/descriptor/16274-4>	Policy advice
<http://zbw.eu/stw/descriptor/10987-4>	Economic policy
<http://zbw.eu/stw/descriptor/11540-6>	Public finance
<http://zbw.eu/stw/descriptor/16989-5>	Sweden
<http://zbw.eu/stw/descriptor/17374-2>	United Kingdom
<http://zbw.eu/stw/descriptor/17983-5>	EU countries
<http://zbw.eu/stw/descriptor/17829-1>	United States
