<http://zbw.eu/stw/descriptor/10414-2>	Economic growth
<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/11506-6>	Inflation
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/17565-2>	China
<http://zbw.eu/stw/descriptor/10346-0>	Business cycle synchronization
<http://zbw.eu/stw/descriptor/10991-6>	Impact assessment
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/19336-0>	Euro area
<http://zbw.eu/stw/descriptor/17568-3>	Japan
<http://zbw.eu/stw/descriptor/17553-2>	Asia
