<http://zbw.eu/stw/descriptor/10605-2>	International economy
<http://zbw.eu/stw/descriptor/10626-1>	Economic integration
<http://zbw.eu/stw/descriptor/10440-1>	Labour productivity
<http://zbw.eu/stw/descriptor/11322-2>	Wages
<http://zbw.eu/stw/descriptor/10204-6>	Mark-up pricing
<http://zbw.eu/stw/descriptor/10180-1>	Consumer surplus
<http://zbw.eu/stw/descriptor/10070-1>	General equilibrium
<http://zbw.eu/stw/descriptor/11956-3>	Gravity model
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/17811-6>	Canada
