<http://zbw.eu/stw/descriptor/18362-4>	Renewable energy policy
<http://zbw.eu/stw/descriptor/18163-3>	Electricity price
<http://zbw.eu/stw/descriptor/10978-5>	Price regulation
<http://zbw.eu/stw/descriptor/10103-5>	Second best
<http://zbw.eu/stw/descriptor/18072-6>	Environmental tax
<http://zbw.eu/stw/descriptor/11696-3>	Tax effects
<http://zbw.eu/stw/descriptor/18353-5>	Energy technology
<http://zbw.eu/stw/descriptor/18024-3>	Renewable energy
<http://zbw.eu/stw/descriptor/12619-2>	Learning process
<http://zbw.eu/stw/descriptor/10905-4>	Market structure
<http://zbw.eu/stw/descriptor/19073-6>	Theory
