<http://zbw.eu/stw/descriptor/10807-4>	International financial market
<http://zbw.eu/stw/descriptor/10894-4>	Regulation
<http://zbw.eu/stw/descriptor/10746-5>	International monetary system
<http://zbw.eu/stw/descriptor/10619-5>	International economic policy
<http://zbw.eu/stw/descriptor/11163-3>	Conflict
<http://zbw.eu/stw/descriptor/29988-0>	Comparative capitalism perspective
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/17374-2>	United Kingdom
<http://zbw.eu/stw/descriptor/17571-0>	East Asia
<http://zbw.eu/stw/descriptor/29744-0>	G20 countries
<http://zbw.eu/stw/descriptor/16815-3>	Europe
