<http://zbw.eu/stw/descriptor/10347-5>	Business cycle theory
<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/10466-4>	Technological change
<http://zbw.eu/stw/descriptor/10010-5>	Consumption
<http://zbw.eu/stw/descriptor/10008-6>	Investment
<http://zbw.eu/stw/descriptor/19225-2>	Relative price
<http://zbw.eu/stw/descriptor/10020-2>	Savings
<http://zbw.eu/stw/descriptor/19267-0>	Yield curve
<http://zbw.eu/stw/descriptor/10343-6>	Economic crisis
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/17829-1>	United States
