<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/15491-1>	Decomposition method
<http://zbw.eu/stw/descriptor/15350-5>	Analysis of variance
<http://zbw.eu/stw/descriptor/10460-2>	Productivity
<http://zbw.eu/stw/descriptor/10440-1>	Labour productivity
<http://zbw.eu/stw/descriptor/11187-3>	Working time
<http://zbw.eu/stw/descriptor/10339-4>	Cyclical unemployment
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/17983-5>	EU countries
<http://zbw.eu/stw/descriptor/17568-3>	Japan
<http://zbw.eu/stw/descriptor/17829-1>	United States
