<http://zbw.eu/stw/descriptor/15952-5>	Immigration
<http://zbw.eu/stw/descriptor/15954-1>	International migration
<http://zbw.eu/stw/descriptor/11736-3>	Functional income distribution
<http://zbw.eu/stw/descriptor/11238-5>	Employment effect
<http://zbw.eu/stw/descriptor/21082-4>	Distributional effect
<http://zbw.eu/stw/descriptor/17993-2>	OECD countries
<http://zbw.eu/stw/descriptor/16950-4>	Austria
<http://zbw.eu/stw/descriptor/17374-2>	United Kingdom
<http://zbw.eu/stw/descriptor/17255-3>	France
<http://zbw.eu/stw/descriptor/18012-3>	Germany
<http://zbw.eu/stw/descriptor/30089-3>	Hong Kong
<http://zbw.eu/stw/descriptor/17623-0>	Israel
<http://zbw.eu/stw/descriptor/17104-3>	Portugal
<http://zbw.eu/stw/descriptor/17161-5>	Spain
<http://zbw.eu/stw/descriptor/17829-1>	United States
