<http://zbw.eu/stw/descriptor/10771-6>	Monetary union
<http://zbw.eu/stw/descriptor/19336-0>	Euro area
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/11506-6>	Inflation
<http://zbw.eu/stw/descriptor/11182-6>	Unemployment
<http://zbw.eu/stw/descriptor/18679-3>	Volatility
<http://zbw.eu/stw/descriptor/19493-5>	Labour market flexibility
<http://zbw.eu/stw/descriptor/11335-0>	Wage rigidity
<http://zbw.eu/stw/descriptor/19222-1>	Price stickiness
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/17983-5>	EU countries
