<http://zbw.eu/stw/descriptor/10346-0>	Business cycle synchronization
<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/11931-5>	Spillover effect
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/17565-2>	China
<http://zbw.eu/stw/descriptor/17602-1>	India
<http://zbw.eu/stw/descriptor/17915-1>	Brazil
<http://zbw.eu/stw/descriptor/17534-6>	Russia
<http://zbw.eu/stw/descriptor/17790-2>	Mexico
<http://zbw.eu/stw/descriptor/17578-0>	Indonesia
<http://zbw.eu/stw/descriptor/17638-1>	Turkey
