<http://zbw.eu/stw/descriptor/13715-1>	Share price
<http://zbw.eu/stw/descriptor/10344-4>	Sunspots
<http://zbw.eu/stw/descriptor/13723-2>	Financial market
<http://zbw.eu/stw/descriptor/18679-3>	Volatility
<http://zbw.eu/stw/descriptor/11414-4>	Financial intermediation
<http://zbw.eu/stw/descriptor/12249-2>	Cost of capital
<http://zbw.eu/stw/descriptor/19259-6>	Monetary transmission
<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/18707-3>	Bank regulation
<http://zbw.eu/stw/descriptor/10382-3>	Monetary policy
<http://zbw.eu/stw/descriptor/19073-6>	Theory
