<http://zbw.eu/stw/descriptor/10276-2>	Private consumption
<http://zbw.eu/stw/descriptor/10300-3>	Consumer behaviour
<http://zbw.eu/stw/descriptor/10038-4>	Expectation formation
<http://zbw.eu/stw/descriptor/19199-5>	Hysteresis
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/17811-6>	Canada
<http://zbw.eu/stw/descriptor/17255-3>	France
<http://zbw.eu/stw/descriptor/18012-3>	Germany
<http://zbw.eu/stw/descriptor/17039-2>	Italy
<http://zbw.eu/stw/descriptor/17374-2>	United Kingdom
<http://zbw.eu/stw/descriptor/17829-1>	United States
