<http://zbw.eu/stw/descriptor/10024-1>	Wealth
<http://zbw.eu/stw/descriptor/13715-1>	Share price
<http://zbw.eu/stw/descriptor/19196-4>	Bubbles
<http://zbw.eu/stw/descriptor/12251-1>	Credit
<http://zbw.eu/stw/descriptor/12252-6>	Collateral
<http://zbw.eu/stw/descriptor/19563-3>	Liquidity constraint
<http://zbw.eu/stw/descriptor/18975-6>	Private debt
<http://zbw.eu/stw/descriptor/10112-4>	Welfare analysis
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/17829-1>	United States
