<http://zbw.eu/stw/descriptor/19111-3>	Workplace
<http://zbw.eu/stw/descriptor/11305-2>	Working conditions
<http://zbw.eu/stw/descriptor/11322-2>	Wages
<http://zbw.eu/stw/descriptor/11378-3>	Students
<http://zbw.eu/stw/descriptor/10164-6>	Theory of preferences
<http://zbw.eu/stw/descriptor/29904-4>	Labour supply behaviour
<http://zbw.eu/stw/descriptor/11222-6>	Human capital investment
<http://zbw.eu/stw/descriptor/19210-1>	Willingness to pay
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/30048-3>	Gender differences
<http://zbw.eu/stw/descriptor/17829-1>	United States
