<http://zbw.eu/stw/descriptor/11182-6>	Unemployment
<http://zbw.eu/stw/descriptor/11613-5>	Public debt
<http://zbw.eu/stw/descriptor/10797-2>	International sovereign debt
<http://zbw.eu/stw/descriptor/10043-4>	Small open economy
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/10440-1>	Labour productivity
<http://zbw.eu/stw/descriptor/10135-6>	Interest rate
<http://zbw.eu/stw/descriptor/19274-3>	Risk premium
<http://zbw.eu/stw/descriptor/10991-6>	Impact assessment
<http://zbw.eu/stw/descriptor/18061-4>	Debt relief
<http://zbw.eu/stw/descriptor/19073-6>	Theory
