<http://zbw.eu/stw/descriptor/11506-6>	Inflation
<http://zbw.eu/stw/descriptor/21082-4>	Distributional effect
<http://zbw.eu/stw/descriptor/10058-5>	Social costs
<http://zbw.eu/stw/descriptor/11460-4>	Liquidity
<http://zbw.eu/stw/descriptor/13828-2>	Insurance
<http://zbw.eu/stw/descriptor/10223-2>	Incomplete market
<http://zbw.eu/stw/descriptor/10057-0>	Risk
<http://zbw.eu/stw/descriptor/10236-0>	Monetary theory
<http://zbw.eu/stw/descriptor/10147-6>	Search theory
<http://zbw.eu/stw/descriptor/11422-5>	Money demand
<http://zbw.eu/stw/descriptor/19073-6>	Theory
