<http://zbw.eu/stw/descriptor/12285-5>	Capital income
<http://zbw.eu/stw/descriptor/13715-1>	Share price
<http://zbw.eu/stw/descriptor/18679-3>	Volatility
<http://zbw.eu/stw/descriptor/15072-0>	Forecasting model
<http://zbw.eu/stw/descriptor/15669-0>	Physics
<http://zbw.eu/stw/descriptor/15220-4>	Markov chain
<http://zbw.eu/stw/descriptor/15054-2>	Nonlinear dynamics
<http://zbw.eu/stw/descriptor/15396-2>	Time series analysis
<http://zbw.eu/stw/descriptor/15266-1>	Method of moments
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/29576-2>	Econophysics
