<http://zbw.eu/stw/descriptor/15125-5>	Panel study
<http://zbw.eu/stw/descriptor/10229-4>	Aggregation
<http://zbw.eu/stw/descriptor/19573-0>	VAR model
<http://zbw.eu/stw/descriptor/15399-3>	Factor analysis
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/11507-4>	Inflation rate
<http://zbw.eu/stw/descriptor/19199-5>	Hysteresis
<http://zbw.eu/stw/descriptor/15088-6>	Consumer price index
<http://zbw.eu/stw/descriptor/10229-4>	Aggregation
<http://zbw.eu/stw/descriptor/18012-3>	Germany
<http://zbw.eu/stw/descriptor/17255-3>	France
<http://zbw.eu/stw/descriptor/17039-2>	Italy
