<http://zbw.eu/stw/descriptor/12069-4>	Firm performance
<http://zbw.eu/stw/descriptor/12071-3>	Firm growth
<http://zbw.eu/stw/descriptor/10928-6>	Market entry
<http://zbw.eu/stw/descriptor/19667-5>	Market exit
<http://zbw.eu/stw/descriptor/11783-1>	Firm size distribution
<http://zbw.eu/stw/descriptor/10652-0>	Trade elasticity
<http://zbw.eu/stw/descriptor/10891-3>	Industrial organization
<http://zbw.eu/stw/descriptor/10070-1>	General equilibrium
<http://zbw.eu/stw/descriptor/10048-1>	Multi-country model
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/17923-2>	Colombia
