<http://zbw.eu/stw/descriptor/12062-4>	Transnational corporation
<http://zbw.eu/stw/descriptor/10852-6>	Foreign trade sector
<http://zbw.eu/stw/descriptor/15477-2>	Risk aversion
<http://zbw.eu/stw/descriptor/16759-1>	Information behaviour
<http://zbw.eu/stw/descriptor/15468-3>	Decision under uncertainty
<http://zbw.eu/stw/descriptor/10821-3>	Exchange rate risk
<http://zbw.eu/stw/descriptor/13720-1>	Currency derivative
<http://zbw.eu/stw/descriptor/12170-1>	Information value
<http://zbw.eu/stw/descriptor/10803-5>	Hedging
<http://zbw.eu/stw/descriptor/10779-4>	Foreign exchange market
<http://zbw.eu/stw/descriptor/10222-4>	Incomplete information
<http://zbw.eu/stw/descriptor/19073-6>	Theory
