<http://zbw.eu/stw/descriptor/19137-6>	Corporate banking
<http://zbw.eu/stw/descriptor/13776-2>	Bank lending
<http://zbw.eu/stw/descriptor/29625-1>	Loan rate
<http://zbw.eu/stw/descriptor/11433-0>	Credit market
<http://zbw.eu/stw/descriptor/10194-4>	Asymmetric information
<http://zbw.eu/stw/descriptor/10224-0>	Imperfect competition
<http://zbw.eu/stw/descriptor/13283-4>	Bank
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/18120-0>	SME
<http://zbw.eu/stw/descriptor/17039-2>	Italy
