<http://zbw.eu/stw/descriptor/13766-5>	Swap
<http://zbw.eu/stw/descriptor/10804-3>	International bond
<http://zbw.eu/stw/descriptor/10774-0>	Central bank
<http://zbw.eu/stw/descriptor/26646-1>	Swiss
<http://zbw.eu/stw/descriptor/10991-6>	Impact assessment
<http://zbw.eu/stw/descriptor/13283-4>	Bank
<http://zbw.eu/stw/descriptor/13715-1>	Share price
<http://zbw.eu/stw/descriptor/29640-5>	Capital market returns
<http://zbw.eu/stw/descriptor/16972-1>	Switzerland
<http://zbw.eu/stw/descriptor/19077-5>	Eastern Europe
<http://zbw.eu/stw/descriptor/10508-0>	Emerging economies
