<http://zbw.eu/stw/descriptor/12062-4>	Transnational corporation
<http://zbw.eu/stw/descriptor/18001-1>	Foreign subsidiary
<http://zbw.eu/stw/descriptor/18538-0>	Export sector
<http://zbw.eu/stw/descriptor/12065-5>	Production
<http://zbw.eu/stw/descriptor/19071-3>	Globalization
<http://zbw.eu/stw/descriptor/10070-1>	General equilibrium
<http://zbw.eu/stw/descriptor/10048-1>	Multi-country model
<http://zbw.eu/stw/descriptor/10823-6>	Foreign investment
<http://zbw.eu/stw/descriptor/12491-2>	Fixed costs
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/18012-3>	Germany
<http://zbw.eu/stw/descriptor/17983-5>	EU countries
<http://zbw.eu/stw/descriptor/17829-1>	United States
